Year,Province,Division,District,VehicleType,Raw_Count,Cleaned_Count,Change_Type
2022,Punjab,Multan,Khanewal,Taxis,,368,inserted (gap-fill)
2022,Punjab,Sargodha,Khushab,Taxis,,20,inserted (gap-fill)
2018,Punjab,Lahore,Lahore,Taxis,16349.0,16397,corrected
2022,Punjab,Lahore,Lahore,Taxis,,27686,inserted (gap-fill)
2022,Punjab,D.G.Khan,Layyah,Taxis,,134,inserted (gap-fill)
2022,Punjab,Multan,Lodhran,Taxis,,356,inserted (gap-fill)
2022,Punjab,Gujranwala,M.B.Din,Taxis,,220,inserted (gap-fill)
2022,Punjab,Sargodha,Mianwali,Taxis,,262,inserted (gap-fill)
2018,Punjab,Multan,Multan,Taxis,4526.0,4529,corrected
2022,Punjab,Multan,Multan,Taxis,,10710,inserted (gap-fill)
2022,Punjab,D.G.Khan,Muzaffargarh,Taxis,,147,inserted (gap-fill)
2022,Punjab,Lahore,Nankana Sahib,Taxis,,1,inserted (gap-fill)
2022,Punjab,Gujranwala,Narowal,Taxis,,1,inserted (gap-fill)
2018,Punjab,Sahiwal,Okara,Taxis,885.0,886,corrected
2022,Punjab,Lahore,Okara,Taxis,,166,inserted (gap-fill)
2022,Punjab,Multan,Pakpattan,Taxis,,9,inserted (gap-fill)
2022,Punjab,Bahawalpur,R.Y.Khan,Taxis,,426,inserted (gap-fill)
2022,Punjab,D.G.Khan,Rajanpur,Taxis,,192,inserted (gap-fill)
2022,Punjab,Rawalpindi,Rawalpindi,Taxis,,8145,inserted (gap-fill)
2018,Punjab,Sahiwal,Sahiwal,Taxis,1585.0,1588,corrected
2022,Punjab,Multan,Sahiwal,Taxis,,1962,inserted (gap-fill)
2022,Punjab,Sargodha,Sargodha,Taxis,,1843,inserted (gap-fill)
2022,Punjab,Lahore,Sheikhupura,Taxis,,342,inserted (gap-fill)
2022,Punjab,Gujranwala,Sialkot,Taxis,,450,inserted (gap-fill)
2022,Punjab,Faisalabad,T.T.Singh,Taxis,,125,inserted (gap-fill)
2018,Punjab,Multan,Vehari,Taxis,1190.0,1193,corrected
2022,Punjab,Multan,Vehari,Taxis,,802,inserted (gap-fill)
2018,Punjab,Rawalpindi,Attock,Tractors,10339.0,10542,corrected
2022,Punjab,Rawalpindi,Attock,Tractors,,11518,inserted (gap-fill)
2017,Punjab,Bahawalpur,Bahawalnagar,Tractors,18243.0,29812,corrected
2018,Punjab,Bahawalpur,Bahawalnagar,Tractors,18243.0,24991,corrected
2022,Punjab,Bahawalpur,Bahawalnagar,Tractors,,23642,inserted (gap-fill)
2017,Punjab,Bahawalpur,Bahawalpur,Tractors,12180.0,22961,corrected
2018,Punjab,Bahawalpur,Bahawalpur,Tractors,12180.0,18157,corrected
2022,Punjab,Bahawalpur,Bahawalpur,Tractors,,14820,inserted (gap-fill)
2018,Punjab,Sargodha,Bhakkar,Tractors,8380.0,8700,corrected
2022,Punjab,Sargodha,Bhakkar,Tractors,,9772,inserted (gap-fill)
2017,Punjab,Rawalpindi,Chakwal,Tractors,5818.0,7699,corrected
2018,Punjab,Rawalpindi,Chakwal,Tractors,5818.0,7126,corrected
2022,Punjab,Rawalpindi,Chakwal,Tractors,,8178,inserted (gap-fill)
2018,Punjab,Faisalabad,Chiniot,Tractors,1949.0,2018,corrected
2022,Punjab,Faisalabad,Chiniot,Tractors,,1709,inserted (gap-fill)
2017,Punjab,D.G.Khan,D.G.Khan,Tractors,21548.0,57071,corrected
2018,Punjab,D.G.Khan,D.G.Khan,Tractors,21548.0,40159,corrected
2022,Punjab,D.G.Khan,D.G.Khan,Tractors,,26988,inserted (gap-fill)
2017,Punjab,Faisalabad,Faisalabad,Tractors,13565.0,25428,corrected
2018,Punjab,Faisalabad,Faisalabad,Tractors,13565.0,19748,corrected
2022,Punjab,Faisalabad,Faisalabad,Tractors,,14078,inserted (gap-fill)
2017,Punjab,Gujranwala,Gujranwala,Tractors,18625.0,27794,corrected
2018,Punjab,Gujranwala,Gujranwala,Tractors,18625.0,23418,corrected
2022,Punjab,Gujranwala,Gujranwala,Tractors,,20025,inserted (gap-fill)
2017,Punjab,Gujranwala,Gujrat,Tractors,8803.0,16597,corrected
2018,Punjab,Gujranwala,Gujrat,Tractors,8803.0,12958,corrected
2022,Punjab,Gujranwala,Gujrat,Tractors,,10807,inserted (gap-fill)
2017,Punjab,Gujranwala,Hafizabad,Tractors,3396.0,5303,corrected
2018,Punjab,Gujranwala,Hafizabad,Tractors,3396.0,4504,corrected
2022,Punjab,Gujranwala,Hafizabad,Tractors,,4498,inserted (gap-fill)
2017,Punjab,Faisalabad,Jhang,Tractors,10366.0,21589,corrected
2018,Punjab,Faisalabad,Jhang,Tractors,10366.0,16253,corrected
2022,Punjab,Faisalabad,Jhang,Tractors,,12723,inserted (gap-fill)
2017,Punjab,Rawalpindi,Jhelum,Tractors,4354.0,6232,corrected
2018,Punjab,Rawalpindi,Jhelum,Tractors,4354.0,5492,corrected
2022,Punjab,Rawalpindi,Jhelum,Tractors,,5642,inserted (gap-fill)
2017,Punjab,Lahore,Kasur,Tractors,16996.0,27226,corrected
2018,Punjab,Lahore,Kasur,Tractors,16996.0,22292,corrected
2022,Punjab,Lahore,Kasur,Tractors,,18660,inserted (gap-fill)
2017,Punjab,Multan,Khanewal,Tractors,11439.0,20878,corrected
2018,Punjab,Multan,Khanewal,Tractors,11439.0,16446,corrected
2022,Punjab,Multan,Khanewal,Tractors,,12346,inserted (gap-fill)
2017,Punjab,Sargodha,Khushab,Tractors,6735.0,12015,corrected
2018,Punjab,Sargodha,Khushab,Tractors,6735.0,9565,corrected
2022,Punjab,Sargodha,Khushab,Tractors,,7092,inserted (gap-fill)
2018,Punjab,Lahore,Lahore,Tractors,53915.0,55054,corrected
2022,Punjab,Lahore,Lahore,Tractors,,60451,inserted (gap-fill)
2018,Punjab,D.G.Khan,Layyah,Tractors,11526.0,12035,corrected
2022,Punjab,D.G.Khan,Layyah,Tractors,,13894,inserted (gap-fill)
2017,Punjab,Multan,Lodhran,Tractors,6619.0,11878,corrected
2018,Punjab,Multan,Lodhran,Tractors,6619.0,9455,corrected
2022,Punjab,Multan,Lodhran,Tractors,,8020,inserted (gap-fill)
2018,Punjab,Gujranwala,M.B.Din,Tractors,6044.0,6280,corrected
2022,Punjab,Gujranwala,M.B.Din,Tractors,,7332,inserted (gap-fill)
2018,Punjab,Sargodha,Mianwali,Tractors,8862.0,9082,corrected
2022,Punjab,Sargodha,Mianwali,Tractors,,9773,inserted (gap-fill)
2017,Punjab,Multan,Multan,Tractors,17008.0,39080,corrected
2018,Punjab,Multan,Multan,Tractors,17008.0,28603,corrected
2022,Punjab,Multan,Multan,Tractors,,20816,inserted (gap-fill)
2017,Punjab,D.G.Khan,Muzaffargarh,Tractors,9557.0,18025,corrected
2018,Punjab,D.G.Khan,Muzaffargarh,Tractors,9557.0,14057,corrected
2022,Punjab,D.G.Khan,Muzaffargarh,Tractors,,11373,inserted (gap-fill)
2018,Punjab,Lahore,Nankana Sahib,Tractors,1958.0,1989,corrected
2022,Punjab,Lahore,Nankana Sahib,Tractors,,2276,inserted (gap-fill)
2018,Punjab,Gujranwala,Narowal,Tractors,9357.0,9622,corrected
2022,Punjab,Gujranwala,Narowal,Tractors,,11035,inserted (gap-fill)
2017,Punjab,Sahiwal,Okara,Tractors,12991.0,21547,corrected
2018,Punjab,Sahiwal,Okara,Tractors,12991.0,17609,corrected
2022,Punjab,Lahore,Okara,Tractors,,15618,inserted (gap-fill)
2018,Punjab,Sahiwal,Pakpattan,Tractors,9995.0,10255,corrected
2022,Punjab,Multan,Pakpattan,Tractors,,11050,inserted (gap-fill)
2017,Punjab,Bahawalpur,R.Y.Khan,Tractors,23696.0,38582,corrected
2018,Punjab,Bahawalpur,R.Y.Khan,Tractors,23696.0,32120,corrected
2022,Punjab,Bahawalpur,R.Y.Khan,Tractors,,28072,inserted (gap-fill)
2018,Punjab,D.G.Khan,Rajanpur,Tractors,3046.0,3264,corrected
2022,Punjab,D.G.Khan,Rajanpur,Tractors,,4034,inserted (gap-fill)
2018,Punjab,Rawalpindi,Rawalpindi,Tractors,3930.0,4038,corrected
2022,Punjab,Rawalpindi,Rawalpindi,Tractors,,3992,inserted (gap-fill)
2017,Punjab,Sahiwal,Sahiwal,Tractors,30114.0,47611,corrected
2018,Punjab,Sahiwal,Sahiwal,Tractors,30114.0,39364,corrected
2022,Punjab,Multan,Sahiwal,Tractors,,35249,inserted (gap-fill)
2017,Punjab,Sargodha,Sargodha,Tractors,17439.0,28358,corrected
2018,Punjab,Sargodha,Sargodha,Tractors,17439.0,23278,corrected
2022,Punjab,Sargodha,Sargodha,Tractors,,18816,inserted (gap-fill)
2017,Punjab,Lahore,Sheikhupura,Tractors,10825.0,21850,corrected
2018,Punjab,Lahore,Sheikhupura,Tractors,10825.0,16641,corrected
2022,Punjab,Lahore,Sheikhupura,Tractors,,13879,inserted (gap-fill)
2017,Punjab,Gujranwala,Sialkot,Tractors,10329.0,21682,corrected
2018,Punjab,Gujranwala,Sialkot,Tractors,10329.0,16353,corrected
2022,Punjab,Gujranwala,Sialkot,Tractors,,12758,inserted (gap-fill)
2018,Punjab,Faisalabad,T.T.Singh,Tractors,12626.0,12957,corrected
2022,Punjab,Faisalabad,T.T.Singh,Tractors,,13150,inserted (gap-fill)
2017,Punjab,Multan,Vehari,Tractors,16243.0,33150,corrected
2018,Punjab,Multan,Vehari,Tractors,16243.0,25064,corrected
2022,Punjab,Multan,Vehari,Tractors,,18704,inserted (gap-fill)
2015,Punjab,Rawalpindi,Attock,Trucks,6202.0,454,corrected
2018,Punjab,Rawalpindi,Attock,Trucks,1139.0,1140,corrected
2022,Punjab,Rawalpindi,Attock,Trucks,,1094,inserted (gap-fill)
2015,Punjab,Bahawalpur,Bahawalnagar,Trucks,353.0,78,corrected
2018,Punjab,Bahawalpur,Bahawalnagar,Trucks,799.0,800,corrected
2022,Punjab,Bahawalpur,Bahawalnagar,Trucks,,102,inserted (gap-fill)
2015,Punjab,Bahawalpur,Bahawalpur,Trucks,4310.0,504,corrected
2018,Punjab,Bahawalpur,Bahawalpur,Trucks,1561.0,1564,corrected
2022,Punjab,Bahawalpur,Bahawalpur,Trucks,,718,inserted (gap-fill)
2015,Punjab,Sargodha,Bhakkar,Trucks,51.0,33,corrected
2018,Punjab,Sargodha,Bhakkar,Trucks,219.0,220,corrected
2022,Punjab,Sargodha,Bhakkar,Trucks,,120,inserted (gap-fill)
2015,Punjab,Rawalpindi,Chakwal,Trucks,227.0,124,corrected
2018,Punjab,Rawalpindi,Chakwal,Trucks,759.0,760,corrected
2022,Punjab,Rawalpindi,Chakwal,Trucks,,128,inserted (gap-fill)
2018,Punjab,Faisalabad,Chiniot,Trucks,1176.0,1177,corrected
2022,Punjab,Faisalabad,Chiniot,Trucks,,82,inserted (gap-fill)
2015,Punjab,D.G.Khan,D.G.Khan,Trucks,412.0,250,corrected
2018,Punjab,D.G.Khan,D.G.Khan,Trucks,1089.0,1091,corrected
2022,Punjab,D.G.Khan,D.G.Khan,Trucks,,774,inserted (gap-fill)
2015,Punjab,Faisalabad,Faisalabad,Trucks,8441.0,4593,corrected
2018,Punjab,Faisalabad,Faisalabad,Trucks,8766.0,8811,corrected
2022,Punjab,Faisalabad,Faisalabad,Trucks,,5804,inserted (gap-fill)
2015,Punjab,Gujranwala,Gujranwala,Trucks,2516.0,1420,corrected
2018,Punjab,Gujranwala,Gujranwala,Trucks,1876.0,1888,corrected
2022,Punjab,Gujranwala,Gujranwala,Trucks,,1482,inserted (gap-fill)
2015,Punjab,Gujranwala,Gujrat,Trucks,3559.0,610,corrected
2018,Punjab,Gujranwala,Gujrat,Trucks,988.0,992,corrected
2022,Punjab,Gujranwala,Gujrat,Trucks,,822,inserted (gap-fill)
2015,Punjab,Gujranwala,Hafizabad,Trucks,267.0,6,corrected
2022,Punjab,Gujranwala,Hafizabad,Trucks,,108,inserted (gap-fill)
2018,Punjab,Faisalabad,Jhang,Trucks,1419.0,1420,corrected
2022,Punjab,Faisalabad,Jhang,Trucks,,1188,inserted (gap-fill)
2015,Punjab,Rawalpindi,Jhelum,Trucks,1586.0,958,corrected
2018,Punjab,Rawalpindi,Jhelum,Trucks,437.0,438,corrected
2022,Punjab,Rawalpindi,Jhelum,Trucks,,304,inserted (gap-fill)
2015,Punjab,Lahore,Kasur,Trucks,785.0,174,corrected
2022,Punjab,Lahore,Kasur,Trucks,,547,inserted (gap-fill)
2022,Punjab,Multan,Khanewal,Trucks,,90,inserted (gap-fill)
2018,Punjab,Sargodha,Khushab,Trucks,1702.0,1704,corrected
2022,Punjab,Sargodha,Khushab,Trucks,,520,inserted (gap-fill)
2015,Punjab,Lahore,Lahore,Trucks,130344.0,29042,corrected
2018,Punjab,Lahore,Lahore,Trucks,29424.0,30312,corrected
2022,Punjab,Lahore,Lahore,Trucks,,44095,inserted (gap-fill)
2015,Punjab,D.G.Khan,Layyah,Trucks,409.0,45,corrected
2022,Punjab,D.G.Khan,Layyah,Trucks,,110,inserted (gap-fill)
2015,Punjab,Multan,Lodhran,Trucks,139.0,42,corrected
2022,Punjab,Multan,Lodhran,Trucks,,256,inserted (gap-fill)
2022,Punjab,Gujranwala,M.B.Din,Trucks,,174,inserted (gap-fill)
2015,Punjab,Sargodha,Mianwali,Trucks,1969.0,1173,corrected
2018,Punjab,Sargodha,Mianwali,Trucks,863.0,864,corrected
2022,Punjab,Sargodha,Mianwali,Trucks,,750,inserted (gap-fill)
2015,Punjab,Multan,Multan,Trucks,16266.0,3388,corrected
2018,Punjab,Multan,Multan,Trucks,5213.0,5267,corrected
2022,Punjab,Multan,Multan,Trucks,,6788,inserted (gap-fill)
2022,Punjab,D.G.Khan,Muzaffargarh,Trucks,,528,inserted (gap-fill)
2015,Punjab,Lahore,Nankana Sahib,Trucks,40.0,18,corrected
2022,Punjab,Lahore,Nankana Sahib,Trucks,,24,inserted (gap-fill)
2015,Punjab,Gujranwala,Narowal,Trucks,250.0,4,corrected
2022,Punjab,Gujranwala,Narowal,Trucks,,17,inserted (gap-fill)
2018,Punjab,Sahiwal,Okara,Trucks,1672.0,1673,corrected
2022,Punjab,Lahore,Okara,Trucks,,586,inserted (gap-fill)
2015,Punjab,Sahiwal,Pakpattan,Trucks,230.0,27,corrected
2022,Punjab,Multan,Pakpattan,Trucks,,38,inserted (gap-fill)
2015,Punjab,Bahawalpur,R.Y.Khan,Trucks,5754.0,497,corrected
2018,Punjab,Bahawalpur,R.Y.Khan,Trucks,1005.0,1006,corrected
2022,Punjab,Bahawalpur,R.Y.Khan,Trucks,,788,inserted (gap-fill)
2015,Punjab,D.G.Khan,Rajanpur,Trucks,310.0,31,corrected
2022,Punjab,D.G.Khan,Rajanpur,Trucks,,37,inserted (gap-fill)
2015,Punjab,Rawalpindi,Rawalpindi,Trucks,16574.0,9739,corrected
2018,Punjab,Rawalpindi,Rawalpindi,Trucks,6975.0,7056,corrected
2022,Punjab,Rawalpindi,Rawalpindi,Trucks,,9269,inserted (gap-fill)
2015,Punjab,Sahiwal,Sahiwal,Trucks,2908.0,1530,corrected
2018,Punjab,Sahiwal,Sahiwal,Trucks,2256.0,2266,corrected
2022,Punjab,Multan,Sahiwal,Trucks,,1075,inserted (gap-fill)
2015,Punjab,Sargodha,Sargodha,Trucks,2401.0,1274,corrected
2018,Punjab,Sargodha,Sargodha,Trucks,5658.0,5662,corrected
2022,Punjab,Sargodha,Sargodha,Trucks,,2758,inserted (gap-fill)
2018,Punjab,Lahore,Sheikhupura,Trucks,1683.0,1688,corrected
2022,Punjab,Lahore,Sheikhupura,Trucks,,1183,inserted (gap-fill)
2022,Punjab,Gujranwala,Sialkot,Trucks,,444,inserted (gap-fill)
2022,Punjab,Faisalabad,T.T.Singh,Trucks,,106,inserted (gap-fill)
2015,Punjab,Multan,Vehari,Trucks,516.0,101,corrected
2022,Punjab,Multan,Vehari,Trucks,,199,inserted (gap-fill)
